title,url_alias,body_full_html,meta_description,social_image_url,social_image_alt,difficulty,topics,questions,status
The Strenuous Life,/quiz/strenuous-life,"<div data-trpl-quiz=""strenuous-life""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Boxing, judo, point-to-point walks through anything in the way. Fifteen questions on a creed he practised before he preached it.",https://quiz.labs.trlibrary.com/assets/img/badlands/tr-ranch-costume.jpg,Theodore Roosevelt mounted in ranch clothes,Standard,Writing & Ideas; Early Life,15,Draft
The Naturalist,/quiz/naturalist,"<div data-trpl-quiz=""naturalist""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","The president who kept lists, argued with ornithologists and never stopped observing. Eleven questions on Roosevelt and the natural world.",https://quiz.labs.trlibrary.com/assets/img/shared/tr-reading-tent.jpg,Roosevelt reading in front of his tent in camp,Standard,Conservation; Early Life,11,Draft
Where History Happened,/quiz/homes-and-places,"<div data-trpl-quiz=""homes-and-places""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","A Manhattan townhouse, a Badlands cabin, a hill above Oyster Bay, and the White House he renamed. Fifteen questions on the places that kept him.",https://quiz.labs.trlibrary.com/assets/img/early-life/birthplace-20th-street.jpg,Roosevelt's birthplace at 28 East 20th Street,Standard,Family & Home; The Badlands,15,Draft
The Author President,/quiz/books-and-writings,"<div data-trpl-quiz=""books-and-writings""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Some thirty-five books and thousands of articles, most of them written after living the story first. Fifteen questions on Roosevelt in print.",https://quiz.labs.trlibrary.com/assets/img/shared/sagamore-library-family.jpg,The library at Sagamore Hill,Challenging,Writing & Ideas,15,Draft
Fact or Fiction,/quiz/myths,"<div data-trpl-quiz=""myths""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","He hated being called Teddy, and that is the least of it. Fifteen questions separating the famous stories from the record.",https://quiz.labs.trlibrary.com/assets/img/shared/drawing-the-line-mississippi.jpg,Berryman's 1902 cartoon that started the teddy bear,Introductory,Legacy & Myths,15,Draft
The Measure of the Man,/quiz/legacy,"<div data-trpl-quiz=""legacy""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Mount Rushmore, presidential rankings, and a name on a national park. Fifteen questions on how America decided to remember him.",https://quiz.labs.trlibrary.com/assets/img/shared/fraser-statue-memorial.jpg,The Fraser equestrian statue at the Roosevelt Memorial,Standard,Legacy & Myths,15,Draft
The Teddy Bear,/quiz/teddy-bear,"<div data-trpl-quiz=""teddy-bear""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","A president refused a shot he thought unsporting, a cartoonist drew it, and a Brooklyn shopkeeper wrote for permission to use the name.",https://quiz.labs.trlibrary.com/assets/img/teddy-bear/drawing-the-line-original.jpg,"Berryman's 1902 cartoon ""Drawing the line in Mississippi""",Introductory,Legacy & Myths; The Presidency,12,Draft
The White House Menagerie,/quiz/pets,"<div data-trpl-quiz=""pets""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","A badger named after the boy who caught it, a snake named after a thin aunt, and a pony that took the passenger lift. Twelve questions on the Roosevelt animals.",https://quiz.labs.trlibrary.com/assets/img/pets/archie-and-josiah.jpg,"Archie Roosevelt with Josiah, his pet badger",Introductory,Family & Home,12,Draft
The Twenty-Seventh of October,/quiz/birthday,"<div data-trpl-quiz=""birthday""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>",Born on 27 October 1858 and married on the same date twenty-two years later. One birthday he spent walking the grounds with a bullet in his chest.,https://quiz.labs.trlibrary.com/assets/img/early-life/teedie-age-two.jpg,"Theodore Roosevelt as a small boy, about two years old",Introductory,Holidays & Occasions; Early Life,10,Draft
Christmas at the Roosevelts',/quiz/christmas,"<div data-trpl-quiz=""christmas""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>",The president who protected 230 million acres had reservations about cutting an evergreen. His nine-year-old son smuggled one into a closet anyway.,https://quiz.labs.trlibrary.com/assets/img/christmas/archie-and-quentin-1904.jpg,"President Roosevelt seated between his sons Archie and Quentin, 1904",Introductory,Holidays & Occasions; Family & Home,10,Draft
Eight Thousand Handshakes,/quiz/new-year,"<div data-trpl-quiz=""new-year""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>",Every New Year's Day the White House opened its doors and anyone willing to queue could shake the president's hand.,https://quiz.labs.trlibrary.com/assets/img/newyear/public-admitted-new-year.jpg,Members of the public filing in to the White House for the New Year's reception,Standard,Holidays & Occasions; The Presidency,10,Draft
The Dickinson Oration,/quiz/fourth-of-july,"<div data-trpl-quiz=""fourth-of-july""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>",In 1886 a twenty-seven-year-old New York ranchman rode a freight train thirty-five miles to give a Fourth of July speech in a Dakota town six years old.,https://quiz.labs.trlibrary.com/assets/img/badlands/dickinson-1883.jpg,"Dickinson, Dakota Territory, in 1883",Challenging,Holidays & Occasions; The Badlands,11,Draft
The Roosevelts at War,/quiz/roosevelts-at-war,"<div data-trpl-quiz=""roosevelts-at-war""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Four sons in France and Mesopotamia, a father refused the division he begged for, and a telegram that never came.",https://quiz.labs.trlibrary.com/assets/img/war/quentin-nieuport.jpg,Quentin Roosevelt with his Nieuport aircraft,Standard,War & Service; Family & Home,13,Draft
Greatheart,/quiz/fathers-day,"<div data-trpl-quiz=""fathers-day""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","The nights his father drove him through the streets to force air into his lungs, the substitute he hired in 1861, and the verdict his son never revised.",https://quiz.labs.trlibrary.com/assets/img/father/tr-sr-portrait.jpg,"Portrait of Theodore Roosevelt Sr. hanging at Sagamore Hill, photographed in 1966",Standard,Early Life; Family & Home; Holidays & Occasions,14,Draft
The Path Between the Seas,/quiz/panama-canal,"<div data-trpl-quiz=""panama-canal""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","A French failure, a revolution that lasted a day, a doctor who fought mosquitoes, and the biggest earth-moving job ever attempted.",https://quiz.labs.trlibrary.com/assets/img/panama/steam-shovel-1906.jpg,A Bucyrus steam shovel working the Culebra Cut,Challenging,The Presidency; Adventure & Exploration,15,Draft
The River of Doubt,/quiz/river-of-doubt,"<div data-trpl-quiz=""river-of-doubt""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","An unmapped Amazon tributary, a Brazilian co-commander, a drowning, a murder, and an infected leg a thousand miles from help.",https://quiz.labs.trlibrary.com/assets/img/amazon/tr-rondon.jpg,Roosevelt and Candido Rondon on the Brazilian expedition,Standard,Adventure & Exploration,15,Draft
Sixteen Battleships,/quiz/great-white-fleet,"<div data-trpl-quiz=""great-white-fleet""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>",He had money to send them halfway and dared Congress to leave them there. Fourteen questions on the cruise that took the American navy round the world.,https://quiz.labs.trlibrary.com/assets/img/fleet/fleet-leaving-hampton-roads.jpg,The battle fleet leaving Hampton Roads,Challenging,The Presidency; War & Service,14,Draft
The Body He Made,/quiz/health,"<div data-trpl-quiz=""health""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Asthma, a warning about his heart, a blind eye nobody knew about, a bullet that stayed in, and fevers that came back until the end.",https://quiz.labs.trlibrary.com/assets/img/health/xray-1912.jpg,The 1912 X-ray plate showing the bullet in Roosevelt's chest,Standard,Early Life; Adventure & Exploration,13,Draft
The Peacemaker,/quiz/nobel-peace-prize,"<div data-trpl-quiz=""nobel-peace-prize""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Two empires at war, a navy yard in Maine, a buffet lunch that solved an unsolvable protocol problem, and the first Nobel Prize ever won by an American.",https://quiz.labs.trlibrary.com/assets/img/nobel/mayflower-envoys.jpg,The Russian and Japanese envoys with Roosevelt aboard the Mayflower,Challenging,The Presidency; Politics & Power,14,Draft
Emperor of the Bad Lands,/quiz/medora,"<div data-trpl-quiz=""medora""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","A French aristocrat pitched a tent on the Little Missouri in 1883, named a town for his wife, and set out to slaughter beef on the range and ship it east.",https://quiz.labs.trlibrary.com/assets/img/medora/abattoir.jpg,The de Mores abattoir at Medora,Challenging,The Badlands,14,Draft
The Winter That Ended the Open Range,/quiz/great-die-up,"<div data-trpl-quiz=""great-die-up""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","The grass was eaten bare, the range was overstocked, and Roosevelt had said so in print. Then it began to snow. Fifteen questions on the winter of 1886-87.",https://quiz.labs.trlibrary.com/assets/img/dieup/cattle-blizzard.jpg,Cattle drifted against a wire fence in a blizzard,Standard,The Badlands; Conservation,15,Draft
Seventy Thousand Acres,/quiz/national-park,"<div data-trpl-quiz=""national-park""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","The only national park named for a person, in the country that made him. Fifteen questions on how it came to exist and what is actually there.",https://quiz.labs.trlibrary.com/assets/img/park/prairie-edge-badlands.jpg,The North Dakota Badlands,Introductory,The Badlands; Conservation; Legacy & Myths,15,Draft
What Lives Out There,/quiz/badlands-wildlife,"<div data-trpl-quiz=""badlands-wildlife""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","The bison he came to hunt were already gone. Fifteen questions on the animals of the North Dakota Badlands, what Roosevelt saw, and what a visitor is likely to…",https://quiz.labs.trlibrary.com/assets/img/wildlife/deer-heart-river.jpg,"Deer wading the shallows of the upper Heart River, North Dakota, 1905",Standard,The Badlands; Conservation,15,Draft
Four Men and a Bullet,/quiz/election-1912,"<div data-trpl-quiz=""election-1912""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","He won most of the primaries and lost the nomination, so he started his own party. Then someone shot him and he finished the speech.",https://quiz.labs.trlibrary.com/assets/img/election1912/we-like-his-grit.jpg,"Cartoon: We are against his politics, but we like his grit",Challenging,Politics & Power,15,Draft
No Coal and Winter Coming,/quiz/coal-strike,"<div data-trpl-quiz=""coal-strike""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","A hundred and forty thousand men walked out of the anthracite mines in May 1902, and the operators would not talk to them.",https://quiz.labs.trlibrary.com/assets/img/coalstrike/breaker-boys-woodward.jpg,"Breaker boys at the Woodward Coal Mines, Kingston, Pennsylvania",Challenging,The Presidency; Politics & Power,14,Draft
Thanksgiving with the Roosevelts,/quiz/thanksgiving,"<div data-trpl-quiz=""thanksgiving""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","He ranked it a distant second to Christmas, which did not stop the day from carrying a good deal of his life: a vow made at twenty in a house outside Boston…",https://quiz.labs.trlibrary.com/assets/img/thanksgiving/state-dining-room.jpg,The White House State Dining Room with mounted game heads on the panelled walls,Standard,Holidays & Occasions; Family & Home,12,Draft
"Inauguration Day, 1905",/quiz/inauguration-1905,"<div data-trpl-quiz=""inauguration-1905""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","He had taken the oath once already, in a borrowed suit in a friend’s parlour in Buffalo. This one was his: a Lincoln relic on his finger, Rough Riders at his…",https://quiz.labs.trlibrary.com/assets/img/inauguration1905/oath-of-office.jpg,"The east front of the Capitol on 4 March 1905, flags hung between the columns and a dense crowd on the steps",Standard,Holidays & Occasions; The Presidency,12,Draft
"Election Night, 1904",/quiz/election-night-1904,"<div data-trpl-quiz=""election-night-1904""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>",On 8 November 1904 Roosevelt won the presidency in his own right by the biggest popular margin anyone had managed.,https://quiz.labs.trlibrary.com/assets/img/election1904/puck-congratulations.jpg,Colour cartoon of a giant Theodore Roosevelt leaning over the roof of the White House with the Capitol behind,Challenging,Holidays & Occasions; Politics & Power; The Presidency,13,Draft
The Sixth of January,/quiz/last-days,"<div data-trpl-quiz=""last-days""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","He died in his sleep at Sagamore Hill in the early morning of 6 January 1919, six months after his youngest son was killed in France.",https://quiz.labs.trlibrary.com/assets/img/lastdays/funeral-a.jpg,"Mounted police leading the funeral cortege at Oyster Bay, January 1919",Challenging,Holidays & Occasions; Family & Home,14,Draft
The Fourteenth of February,/quiz/february-14,"<div data-trpl-quiz=""february-14""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","His mother and his wife died in the same house on West 57th Street on 14 February 1884, eleven hours apart, two days after his daughter was born.",https://quiz.labs.trlibrary.com/assets/img/early-life/alice-hathaway-lee.jpg,"Alice Hathaway Lee Roosevelt, about 1883",Standard,Holidays & Occasions; Family & Home; Early Life,12,Draft
"Mittie, Bamie and Edith",/quiz/mothers-day,"<div data-trpl-quiz=""mothers-day""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","A Georgia girl who never accepted the outcome of the war, a sister who lent her brother a house to be president in, and a wife who put him on a daily…",https://quiz.labs.trlibrary.com/assets/img/mothersday/nile-1872.jpg,"The Roosevelt family and friends photographed on the Nile, 1872-73",Standard,Holidays & Occasions; Family & Home; Early Life,13,Draft
After the Charge,/quiz/veterans-day,"<div data-trpl-quiz=""veterans-day""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","The regiment lasted four months. The men who filled it lasted another seventy-seven years, and Roosevelt's own sons carried it forward into two more wars.",https://quiz.labs.trlibrary.com/assets/img/veterans/montauk-officers.jpg,"Officers of the Rough Riders at the camp at Montauk Point, 1898",Challenging,Holidays & Occasions; War & Service; Family & Home,14,Draft
Five Ways to Save a Place,/quiz/earth-day,"<div data-trpl-quiz=""earth-day""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","The famous number is 230 million acres, and the number tells you nothing. Roosevelt had five separate legal tools and used every one differently - on a…",https://quiz.labs.trlibrary.com/assets/img/earthday/governors-conference.jpg,"The governors of every state and territory on the White House portico, May 1908",Standard,Holidays & Occasions; Conservation; The Presidency,14,Draft
The Twenty-Sixth,/quiz/presidents-day,"<div data-trpl-quiz=""presidents-day""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Born under Buchanan, employed by three presidents before he was one, sworn in beside a friend's bookshelves in Buffalo, and carved into a mountain in South…",https://quiz.labs.trlibrary.com/assets/img/presidentsday/oath-spot.jpg,The library of the Wilcox house in Buffalo where Roosevelt took the oath,Standard,Holidays & Occasions; The Presidency; Legacy & Myths,13,Draft
The President Who Birded,/quiz/birder,"<div data-trpl-quiz=""birder""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","He shot his first bird on the Nile at fourteen, published a bird list before he could vote, and named a fox sparrow from a scrap of down on a White House path.",https://quiz.labs.trlibrary.com/assets/img/birder/warbler-plate.jpg,Chromolithograph of chestnut-sided and yellow warblers on a birch branch,Challenging,Holidays & Occasions; Conservation; Early Life,13,Draft
A Very Irregular Education,/quiz/back-to-school,"<div data-trpl-quiz=""back-to-school""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","He never sat in a classroom until he was seventeen, was hopeless at Latin and unbeatable at natural history, and walked out of law school after a year.",https://quiz.labs.trlibrary.com/assets/img/backtoschool/harvard-holworthy.jpg,"Holworthy Hall in Harvard Yard, photographed in the nineteenth century",Standard,Holidays & Occasions; Early Life; Writing & Ideas,13,Draft
Two Weddings,/quiz/weddings,"<div data-trpl-quiz=""weddings""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","The first was at noon on his own birthday, in New England sunshine, with his brother holding the ring.",https://quiz.labs.trlibrary.com/assets/img/early-life/alice-hathaway-lee.jpg,Portrait of Alice Hathaway Lee as a young woman,Standard,Holidays & Occasions; Family & Home; Early Life,14,Draft
The Country Before Roosevelt,/quiz/badlands-before-tr,"<div data-trpl-quiz=""badlands-before-tr""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","The Mandan had a story about who made this country. The Lakota wintered on the upper river, French trappers cursed it in their own language, the Army built a…",https://quiz.labs.trlibrary.com/assets/img/before-tr/badlands-bullion-slopes.jpg,Eroded badlands ridges and bare clay hillocks falling away toward a distant valley,Challenging,The Badlands; Conservation,14,Draft
How the Open Range Worked,/quiz/open-range,"<div data-trpl-quiz=""open-range""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","No fences, no deeds, no sheriff worth the name — and somehow tens of thousands of cattle grazed the same country and got sorted out again every spring.",https://quiz.labs.trlibrary.com/assets/img/open-range/cowpunchers-roundup.jpg,Cowhands holding a band of saddle horses inside a rope stretched from a wagon,Standard,The Badlands; Conservation,14,Draft
The Spine of the Badlands,/quiz/little-missouri,"<div data-trpl-quiz=""little-missouri""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Shallow enough to walk across in August, and it carved a hundred miles of canyon country doing it.",https://quiz.labs.trlibrary.com/assets/img/little-mo/plains-river.jpg,A wide bend of the Little Missouri with a low cut bank and cottonwoods on the far shore,Standard,The Badlands; Conservation,13,Draft
How the Badlands Were Made,/quiz/badlands-geology,"<div data-trpl-quiz=""badlands-geology""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","A swamp full of crocodiles, coal seams that catch fire and bake the clay above them into brick, petrified stumps still standing where the trees grew, and a…",https://quiz.labs.trlibrary.com/assets/img/geology/badlands-layers.jpg,Badlands buttes near Medora with pale layered clay slopes and a band of red rock along the ridge,Challenging,The Badlands; Conservation,15,Draft
"Twins, and Nobody Knows Which Was Born First",/quiz/nd-statehood,"<div data-trpl-quiz=""nd-statehood""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","A territory that once reached into Montana, a capital carried off by a railroad before dawn, a division fight that ran for a decade, and a signing arranged so…",https://quiz.labs.trlibrary.com/assets/img/statehood/bismarck-1883.jpg,"An 1883 bird's-eye lithograph of Bismarck, Dakota Territory, with steamboats on the Missouri",Standard,The Badlands; Politics & Power,14,Draft
Medora Now,/quiz/medora-today,"<div data-trpl-quiz=""medora-today""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","A town of a hundred and twenty-one people, a national park in three pieces, a French nobleman's house on its bluff, a musical under the stars, and a…",https://quiz.labs.trlibrary.com/assets/img/medora-today/little-mo-overlook.jpg,The Little Missouri River winding through banded badlands ridges seen from a high overlook,Introductory,The Badlands; Legacy & Myths,13,Draft
The Gilded Age,/quiz/gilded-age,"<div data-trpl-quiz=""gilded-age""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","A novelist named the era, and he did not mean it kindly. Fourteen questions on the fortunes, the trusts, the tenements and the crash — and on an argument about…",https://quiz.labs.trlibrary.com/assets/img/gilded-age/bosses-of-the-senate.jpg,Colour cartoon of enormous money bags labelled with the names of trusts looming over the seated United States Senate,Standard,Politics & Power; Early Life,14,Draft
The Progressive Era,/quiz/progressive-era,"<div data-trpl-quiz=""progressive-era""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","For twenty years Americans of every stripe agreed something had to be done, then argued about what.",https://quiz.labs.trlibrary.com/assets/img/progressive-era/suffrage-parade.jpg,"A vast crowd filling a wide avenue, with a banner reading We Demand an Amendment to the Constitution",Standard,Politics & Power; The Presidency,14,Draft
The Muckrakers,/quiz/muckrakers,"<div data-trpl-quiz=""muckrakers""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","For a decade the biggest thing in American publishing was the investigative exposé, sold for a dime.",https://quiz.labs.trlibrary.com/assets/img/muckrakers/crusaders.jpg,"Colour cartoon of journalists drawn as medieval knights on horseback, their shields and banners lettered with magazine titles",Challenging,Writing & Ideas; Politics & Power,14,Draft
The Frontier That Closed,/quiz/closing-frontier,"<div data-trpl-quiz=""closing-frontier""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","In 1890 the Census Bureau said it could no longer draw a line between settled and unsettled America, and three years later a young historian built a theory of…",https://quiz.labs.trlibrary.com/assets/img/frontier/rawding-sod-house.jpg,"A homesteading family standing in front of a low sod house on the Nebraska plains, with a cow grazing on the roof",Standard,The Badlands; Politics & Power,15,Draft
"Coming to America, 1880-1920",/quiz/immigration-era,"<div data-trpl-quiz=""immigration-era""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Twenty-five million people arrived in forty years, and a great many meant to go home again. Fifteen questions on the ships, the stations, the tenements, the…",https://quiz.labs.trlibrary.com/assets/img/immigration/welcome-land-freedom.jpg,Wood engraving of steerage passengers crowding the deck of an ocean steamer as it passes the Statue of Liberty,Standard,Politics & Power; The Presidency,15,Draft
The Women Who Ran the Era,/quiz/women-of-the-era,"<div data-trpl-quiz=""women-of-the-era""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>",A reporter had herself committed to an asylum. A settlement-house founder followed the garbage wagons at dawn.,https://quiz.labs.trlibrary.com/assets/img/women/suffrage-parade-1913.jpg,"An enormous crowd filling Pennsylvania Avenue in Washington, the Capitol dome visible in the distance",Standard,Politics & Power; The Presidency,14,Draft
The War of 1898,/quiz/spanish-american-war,"<div data-trpl-quiz=""spanish-american-war""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>",Cubans had been fighting Spain for thirty years before an American battleship blew up in Havana harbour.,https://quiz.labs.trlibrary.com/assets/img/spanamwar/maine-wreck.jpg,"The wreck of the battleship Maine in Havana harbour, only a mast and torn plating above the water",Standard,War & Service; Politics & Power,15,Draft
A World Power,/quiz/world-power,"<div data-trpl-quiz=""world-power""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","In eighteen months the United States acquired Hawaii, Puerto Rico, Guam and the Philippines, and began arguing about whether a republic could hold colonies and…",https://quiz.labs.trlibrary.com/assets/img/world-power/tr-cabinet-message.jpg,"The president reading his annual message to the cabinet before sending it to Congress, 1903",Challenging,The Presidency; Politics & Power,15,Draft
The Other Roosevelts,/quiz/other-roosevelts,"<div data-trpl-quiz=""other-roosevelts""></div>
<script src=""https://quiz.labs.trlibrary.com/assets/js/embed.js"" async></script>","Two presidents, two branches, one wedding that joined them, and twenty years later the halves of the family campaigning against each other.",https://quiz.labs.trlibrary.com/assets/img/other-roosevelts/roosevelt-children-tintype.jpg,A tintype of four young Roosevelts and Edith Carow outdoors at Oyster Bay in 1875,Standard,Family & Home; Politics & Power,14,Draft
